origin	terminus	name	stops	route
clifton	saeedabad_naiabadi_sector-8	20	25	clifton>mohata_palace>2_talwar>schon_chowrangi>3_talwar>clifton_bridge>bagh_jinnah>shaheen_complex>lucky_star>saddar>garden>lasbela_chowk>old_golimar>bara_board>habib_bank>valika>site_police_station>labour_square>hub_river_road>sawat_colony>police_training_school>ruby_cinema>saeedabad_naiabadi_sector-8
biscuit_factory	two_minutes_chowrangi	F-18	26	biscuit_factory>chamra_chowrangi>bilal_chowrangi>bilal_colony>korangi_telephone_exchange>korangi_2_?->double_road>korangi_no_3>korangi_no_6>landhi_no_6>dawood_chowrangi>quaidabad>malir_no_15>star_gate>natha_khan_goth>shaheed_rashid_minhas_road>NIPA>gulshan_chowrangi>sohrab_goth>power_house>nagan_chowrangi>u.p_mour>salim_square>two_minutes_chowrangi
korangi_100_quarter	ayub_goth	S-2	27	korangi_100_quarter>chungi_naka_coast_guad>korangi_no_2_?->korangi_no_1>korangi_crossing>qayyumabad>defence_view>baloch_colony>tariq_road>shaheed-e-millat_road>jail_road>purani_sabzi_mandi>hassan_square>NIPA>rashid_minhas>mahal_city_garden>sohrab_goth>shahrah_waliullah_road>power_house>shafiq_mor>godhra_chowk>industrial_area>godhra_camp>saba_cinema>ayub_goth
chamra_chowrangi	new_sabzi_mandi	51-C	27	chamra_chowrangi>vita_chowrangi>bilal_chowrangi>singer_chowrangi>murtaza_chowrangi>dawood_chowrangi>quaidabad>murghi_khana_malir>malir_no_15>kala_board_malir>malir_halt>jinnah_airport_entrance>star_gate>drigh_road_station>millenium_mall>jauhar_mor>aladin_park>NIPA>gulshan-e-iqbal_chowrangi>moti_mehal>fazal_mills>sohrab_goth>al_asif_square>khuda_ki_basti>new_sabzi_mandi
taiser_town	baldia_yousuf_goth	D-4	28	taiser_town>khuda_ki_basti>surjani_sector-4>kda_site_office>two_minutes_chowrangi>4-j_bus_stop>khawaj_ajmeri_nagri>sector_no_7-d>anda_mor>qalandari_chowk>hussain_d.silva>paposh_nagar>bara_maidan>nazimabad_petrol_pump>gulbahar>lasbela>garden>ranchore_line>juna_market>lee_market>gulbai>shershah>hub_river_road>moach_mor>no_9>baldia_yousuf_goth
ittehad_town	mohammad_khan_goth	G-55	28	ittehad_town>dawood_goth>naval_colony>moach_goth>mohajir_camp>hub_river_road>rasheedabad>labour_square>ghani_chowrangi>bara_board>old_golimar>garden>soldier_bazar>gurumandir>islamia_college>sharifabad_t.v_station>agha_khan_hospital>national_stadium>dalmia_road>rashid_minhas_road>NIPA>safari_park>university_road>suparco_chowk>sachal_goth>mohammad_khan_goth
manzoor_colony	faqeer_colony	1-E	29	manzoor_colony>bismillah_pul>mehmoodabad_no_6>mehmoodabad_no.5>mehmoodabad_no.4>mehmoodabad_no.3>mehmoodabad_no.2>mehmoodabad_no.1>corporation>parsi_colony>kalapul>jinnah_hospitall>regent_palaz>lucky_star>saddar>numaish>gurumandir>patel_para>lasbela>golimar>petrol_pump>nazimabad>habib_bank>valika_motrovil>orangi_no_4>orangi_no_10>faqeer_colony
khadda_quaters	saddar	17-K	29	khadda_quaters>hospital_chorangi>market_no_6>gul_ahmed_textile_mills>tasweer_mahal>quaidabad>dhobi_ghat>dawood_chowrangi>mansehra_colony>korangi_no_6>qayyumabad>murtaza_chowrangi>defence_society>singer_chowrangi>jinnah_hospitall>bilal_chowrangi>raja_ghazanfar_ali_road>vita_chowrangi>chamra_chowrangi>brookse_chowrangi>kpt_flyover_interchange>akhter_colony>defence_mor>kalapul>jinnah_hospitall>lucky_star>saddar
faqeer_colony	kharkar_chowrangi	19-D	29	faqeer_colony>ruby_cinema>hub_river_road>shershah>chakiwara>lee_market>haji_camp>jamila_street>nishter_road>baba_urdu_road>shahrah-e-liaquat>fresco_chowk>mohammad_bin_qasim_road>ma_jinnah_road>mansfield_street>empress_market>mir_karim_ali_talpur_roadd>wellington_street>cantt_station>clifton>dehli_colony>gizri>zamzaman_neelam_colony>abdullah_shah_ghazi>khyaban_saadi>bilawal_chowrangi>kharkar_chowrangi
ziaul_haq_colony	banalipara	F-17	32	ziaul_haq_colony>mominabad>bijli_nagar>orangi_no_4>orangi_no_5>metro_cinema>banaras_chowk>abdullah_college>paposh_nagar>petrol_pump>liaquatabad_no_10>teen_hatti>gurumandir>numaish>shahrah-e-quaideen>nursery>gora_qabrastan>kalapul>defence_society>akhter_colony>qayyumabad>chamra_chowrangi>korangi_industrial_area>bilal_colony>bismillah_stop>korangi_no_4>korangi_no_5_?->dhobi_ghat>100_quarter>banalipara
korangi_100_quarter	taiser_town	D-10	35	korangi_100_quarter>korangi_no_5>landhi_no_6>landhi_no_5>landhi_no_4>landhi_no_3>landhi_no_2>landhi_no_1>dawood_chowrangi>quaidabad>malir_city>malir_halt>star_gate>natha_khan_goth>drigh_road>rashid_minhas_road>drive-in-cinema>jauhar_mor>NIPA>gulshan_chowrangi>sohrab_goth>power_house>godhra>new_khi_industrial_area>saba_cinema>new_khi_no_5>allahwali_masjid>4-k_chowrangi>kda_stop>maraqba_hall>khuda_ki_basti>lerp_colony>taiser_town
mianwali_colony	machine_tool_factory	F-16	35	mianwali_colony>qasba_colony>banaras_chowk>abdullah_college>paposh_nagar>abbasi_shaheed_hospital>nazimabad_no_7>mujahid_colony>dr._ziauddin_hospital>karimabad>liaquatabad_no_10>teen_hatti>mazar-e-quaid>khudadad_colony>nursery>ftc_bulding>defence>akhter_colony>qayyumabad>korangi_no_1>korangi_no_2_?->korangi_no_3>korangi_no_4>korangi_market_no_6>degree_college>100_quarter>korangi_no_5_?->landhi_no_6>landhi_no_1>dawood_chowrangi>gul_ahmed_textile_mills>labour_square>machine_tool_factory
orangi_town	kiran_hospital	G-27	35	orangi_town>yousuf_goth>hub_river_road>bukhramandi>afridi_chowk>didgah_mor>jamia_mehnodia>orangi_town>saddiq_akber_colony>sabri_chowk>urdu_chowk>orangi_no_10>orangi_no_4>orangi_no_5>metro_cinema>banaras_chowk>abdullah_college>board_office>kda_chowrangi>ziauddin_hospital>landi_kotal>peoples_chowrangi>buffer_zone>power_house>sohrab_goth>fazal_mills>NIPA>safari_park>jauhar_square>pahalwan_goth>pia_society>bakhtawar_goth>gul_city>safoora_goth>kiran_hospital
